"Грэм Б.: Разумный инвестор: Полное руководство по стоимостному инвестированию","10300","100","1"," Деловая литература"," Альпина Паблишер"," 12+","2017"," Русский"
"Бекжігітова К. : Ойыңды өзгертіп, өміріңді өзгерт","3450","100","161"," Психология популярная",," 18+","2017"," Казахский"
"Фейн Э., Шнайдер Ш. : Правила. Как выйти замуж за мужчину своей мечты","2270","100","4"," Психология популярная"," ОДРИ"," 16+","2012"," Русский"
"Зеланд В.: Трансерфинг реальности. Ступень IV. Управление реальностью","2590","0","0"," Эзотерика"," Весь"," 16+","2006"," Русский"
"Зеланд В.: Практический курс Трансерфинга за 78 дней","5190","100","1"," Эзотерика"," Весь"," 16+","2015"," Русский"
"Хемингуэй Э.: По ком звонит колокол (новый перевод). Эксклюзивная классика","1850","0","0"," Всемирная классика"," Neoclassic"," 16+","2016"," Русский"
"Сакурадзака Х.: All You Need Is Kill. Грань будущего. Книга 2","2550","0","0"," Манга"," Азбука"," 18+","2016"," Русский"
"Войнич Э. Л.: Овод (Эксклюзивная классика)","1290","0","0"," Всемирная классика"," Neoclassic"," 16+","2014"," Русский"
"Шекспир У.: Ромео и Джульетта. Отелло","1250","0","0"," Всемирная классика"," Neoclassic"," 12+","2017"," Русский"
"Галь Н.: Слово живое и мертвое.  Эксклюзив: Русская классика","1190","0","0"," Культура, искусство"," АСТ"," 16+","2019"," Русский"
"Уолтон С.: Как я создал Wal-Mart","4090","100","1"," Бизнес образование"," Альпина Паблишер"," 12+","2018"," Русский"
"Кехо Д.: Подсознание может всё! (твердый переплет)","3910","100","4"," Психология популярная"," Попурри"," 16+","2019"," Русский"
"Шефер Б.: Пёс по имени Мани","4590","100","3"," Бизнес образование"," Попурри"," 12+","2019"," Русский"
"Соқпақбаев Б.: Өлгендер қайтып келмейді","2590","0","0"," Казахская Классика"," Дария Дамыту Орталығы"," 12+","2020"," Казахский"
"Афремов Дж.: Разум чемпионов. Как мыслят, тренируются, побеждают великие спортсмены","4850","100","4"," Психология практическая"," Азбука"," 16+","2017"," Русский"
